Rainfallmm,Month,Year
70.7,Jul,2004
159.8,Aug,2004
103.9,Sep,2004
165.8,Oct,2004
75.4,Nov,2004
111.6,Dec,2004
127.6,Jan,2005
70.3,Feb,2005
73.3,Mar,2005
91.2,Apr,2005
72.9,May,2005
72,Jun,2005
59.6,Jul,2005
85.6,Aug,2005
93.1,Sep,2005
142.8,Oct,2005
116.9,Nov,2005
81,Dec,2005
60.1,Jan,2006
65.3,Feb,2006
110.9,Mar,2006
67.8,Apr,2006
112.5,May,2006
42.4,Jun,2006
53.5,Jul,2006
92.5,Aug,2006
102.7,Sep,2006
143.8,Oct,2006
154,Nov,2006
173.7,Dec,2006
153.8,Jan,2007
110.4,Feb,2007
88.9,Mar,2007
27,Apr,2007
114.1,May,2007
136.2,Jun,2007
135.2,Jul,2007
86.5,Aug,2007
67.1,Sep,2007
65.2,Oct,2007
101.5,Nov,2007
114.4,Dec,2007
189.6,Jan,2008
82.3,Feb,2008
122.5,Mar,2008
76.2,Apr,2008
47.9,May,2008
78.5,Jun,2008
108.1,Jul,2008
133.6,Aug,2008
106.3,Sep,2008
155.7,Oct,2008
106.4,Nov,2008
87.9,Dec,2008
119.8,Jan,2009
60.3,Feb,2009
79.5,Mar,2009
60.2,Apr,2009
82,May,2009
62.1,Jun,2009
145.6,Jul,2009
115.3,Aug,2009
64.2,Sep,2009
107.8,Oct,2009
215.7,Nov,2009
100.9,Dec,2009
79.7,Jan,2010
74.8,Feb,2010
79.4,Mar,2010
48,Apr,2010
39,May,2010
38.6,Jun,2010
107.6,Jul,2010
97.6,Aug,2010
114,Sep,2010
101.1,Oct,2010
123.2,Nov,2010
47.5,Dec,2010
100.2,Jan,2011
111.6,Feb,2011
49.9,Mar,2011
36.7,Apr,2011
98.3,May,2011
